,meter_id,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
0,X26,1071.020777923093,1072.2728413741638,1016.2019973094084,1049.3767952080855,1021.3252081577932
0,X303,371.1802539401734,366.0561766784366,385.25181750968227,354.28396729237693,348.9832478843573
0,X241,202.15802275953033,214.81598260576573,235.04877250361167,243.65787760384978,245.92358053092678
0,X435,216.95053793725756,215.1042976238398,208.3816396391259,242.83829313003133,235.8107680211096
0,X402,258.60003001336975,255.25455641057513,247.0205384618469,255.25455641057513,248.74244455388424
0,X352,168.1870447147903,162.5480820830971,165.39898965973484,159.25127817023787,134.49834862905965
0,X305,277.3580705648859,274.26121550715993,263.90205976101066,328.04020388477085,320.15428707132895
0,X350,250.19401464739846,264.90167534398614,248.6788430317332,271.70287446492694,263.9373887771619
0,X326,75.80444359190568,75.80444359190568,73.35913895990872,60.531401228701725,58.34180633813045
0,X299,179.68817601993885,176.8177780227317,171.7417005509246,180.85621682497478,174.70076162926466
0,X160,177.01188888162687,176.74823842793566,169.39204927569557,212.51266775677627,220.12084402722553
0,X125,426.4739439596946,428.73222565646927,414.000789443294,530.7485278265959,543.0690857919104
0,X211,211.2703412960243,206.21964823893944,200.46652255411507,219.36758157190448,214.68738731320764
0,X349,136.79549308956416,136.79549308956416,132.31020994681404,134.0634516814572,209.60272573322416
0,X407,289.87105693439077,278.57835611001,268.4153546379553,317.6637559352809,324.6801157535612
0,X330,305.2345193332404,267.40499747081583,268.70040157845614,237.68383429855317,226.50839436238635
0,X132,308.12158045244803,302.9685651558881,271.36540585626176,296.42832346979236,269.8640978383947
0,X231,150.08429314402233,148.39287971807872,144.0125850741506,137.86702241262847,133.17951069534135
0,X225,259.57083710228824,261.22290618415497,253.49685368347792,260.4614636231698,251.86282995743994
0,X16,2863.453331833893,2863.453331833893,2771.083869516671,2777.833542933925,2703.2001844773363
0,X286,271.3834004068256,260.0123284381828,251.624833972435,257.5693664444719,287.2699480426808
0,X354,135.59789358083796,132.87104503103717,154.26075648817834,165.9991051072426,161.37591627249927
0,X353,172.78201253517693,172.78201253517693,166.7656452646723,173.70162310918533,168.1149147129536
0,X76,299.73325806185494,320.0269745600576,286.5527669685898,295.4835467797537,314.07427442975074
0,X255,258.57289856660964,252.2409354228687,260.2118919836845,274.1905926656547,279.74101232732255
0,X106,451.70612623022424,453.6431060373221,438.08482880235556,509.27233204281555,461.07146360414805
0,X393,232.0383138785455,231.37017794537476,226.2386542078796,241.71140992385193,235.87966877828643
0,X157,197.61952925404069,197.3878907061884,192.2521680605564,196.57287933553204,170.3982921131
0,X323,179.2112085112974,169.57474924397943,164.39276007318233,169.59610676907155,164.17408959129423
0,X130,229.48438356118155,229.65266943832717,216.22143142014255,332.21489455514075,373.06100267077494
0,X269,212.13896008183528,207.94408570981176,199.93692577499942,243.62769174352775,235.6357787363654
0,X94,118.72861692749935,125.10090350689335,121.11162093973809,125.11685008541228,120.85856080588803
0,X172,91.04433713383766,89.76341405687396,82.36978619492264,83.85652874621869,80.81875931378235
0,X289,228.75524237577693,224.32408599948923,217.83234184228047,224.64523198218473,218.48829713908322
0,X216,161.63788235382503,162.47907789003872,156.04381844628054,210.68707802290376,229.39399523059024
0,X123,845.1640657563643,891.1310035983281,862.3739114369059,891.1310035983281,881.7644402745866
0,X398,138.01536525831855,124.19371638863105,114.52798530599355,107.91167669153845,128.8877438841833
0,X233,113.78942370467982,113.78942370467982,110.11879713356112,123.59498657107032,161.37101558681883
0,X214,314.0500119818847,310.0803444529867,302.37718834264155,328.4659997384019,317.89133043707596
0,X270,283.35689281257123,282.99077843977864,325.96859354089014,338.86967770985916,337.2523257193893
0,X371,248.5009623477838,248.5009623477838,240.6133311514121,284.9208609221448,275.31780015516074
0,X200,175.73340593178702,174.2553996677859,168.63746365476192,174.5404991873557,168.44305048025808
0,X111,318.8392646088396,319.1272012119491,309.2101236591061,321.7913573713273,310.7635940156649
0,X163,203.84623233054938,204.09056620377964,202.7497446299635,222.01821180279387,228.5342901163139
0,X364,200.8787393970216,178.29400716739093,175.7314538645657,164.64563949982917,152.69730563160874
0,X378,210.72319553959906,210.2473189793017,213.53681597617341,211.26810919346676,209.2738100413742
0,X271,229.25765936934536,230.99565169684763,231.9228444892905,227.41744491365478,225.62528049474716
0,X462,206.51450572447715,192.06824291121512,171.0728747314947,144.78494227626356,151.02520236526297
0,X427,241.97625600185165,242.03003888515747,231.33781354168661,292.2838640949317,307.14419814284895
0,X73,64.84797714393072,16.399588618498484,15.870569630804983,16.399588618498484,15.898791408696672
