Compare A,Compare B,Score
ARIMA,ARIMA,0
ARIMA,avg_per_hour_ARIMA,9.679389994
ARIMA,NA_DACON_method_ARIMA,2.627429626
ARIMA,NA_DACON_method_r48_mean_ARIMA,18.90156494
ARIMA,NA_DACON_method_r48_med_ARIMA,29.50564305
ARIMA,r48_med_ARIMA,28.27929831
ARIMA,r720_mean_ARIMA_itertools3,15.85643298
avg_per_hour_ARIMA,ARIMA,9.679389994
avg_per_hour_ARIMA,avg_per_hour_ARIMA,0
avg_per_hour_ARIMA,NA_DACON_method_ARIMA,10.41577722
avg_per_hour_ARIMA,NA_DACON_method_r48_mean_ARIMA,20.53980523
avg_per_hour_ARIMA,NA_DACON_method_r48_med_ARIMA,32.51918139
avg_per_hour_ARIMA,r48_med_ARIMA,31.4432317
avg_per_hour_ARIMA,r720_mean_ARIMA_itertools3,13.91804784
NA_DACON_method_ARIMA,ARIMA,2.627429626
NA_DACON_method_ARIMA,avg_per_hour_ARIMA,10.41577722
NA_DACON_method_ARIMA,NA_DACON_method_ARIMA,0
NA_DACON_method_ARIMA,NA_DACON_method_r48_mean_ARIMA,18.3133911
NA_DACON_method_ARIMA,NA_DACON_method_r48_med_ARIMA,29.18122777
NA_DACON_method_ARIMA,r48_med_ARIMA,28.94363748
NA_DACON_method_ARIMA,r720_mean_ARIMA_itertools3,16.58263472
NA_DACON_method_r48_mean_ARIMA,ARIMA,18.90156494
NA_DACON_method_r48_mean_ARIMA,avg_per_hour_ARIMA,20.53980523
NA_DACON_method_r48_mean_ARIMA,NA_DACON_method_ARIMA,18.3133911
NA_DACON_method_r48_mean_ARIMA,NA_DACON_method_r48_mean_ARIMA,0
NA_DACON_method_r48_mean_ARIMA,NA_DACON_method_r48_med_ARIMA,26.0349523
NA_DACON_method_r48_mean_ARIMA,r48_med_ARIMA,27.67197825
NA_DACON_method_r48_mean_ARIMA,r720_mean_ARIMA_itertools3,7.009284504
NA_DACON_method_r48_med_ARIMA,ARIMA,29.50564305
NA_DACON_method_r48_med_ARIMA,avg_per_hour_ARIMA,32.51918139
NA_DACON_method_r48_med_ARIMA,NA_DACON_method_ARIMA,29.18122777
NA_DACON_method_r48_med_ARIMA,NA_DACON_method_r48_mean_ARIMA,26.0349523
NA_DACON_method_r48_med_ARIMA,NA_DACON_method_r48_med_ARIMA,0
NA_DACON_method_r48_med_ARIMA,r48_med_ARIMA,9.868067186
NA_DACON_method_r48_med_ARIMA,r720_mean_ARIMA_itertools3,22.78725555
r48_med_ARIMA,ARIMA,28.27929831
r48_med_ARIMA,avg_per_hour_ARIMA,31.4432317
r48_med_ARIMA,NA_DACON_method_ARIMA,28.94363748
r48_med_ARIMA,NA_DACON_method_r48_mean_ARIMA,27.67197825
r48_med_ARIMA,NA_DACON_method_r48_med_ARIMA,9.868067186
r48_med_ARIMA,r48_med_ARIMA,0
r48_med_ARIMA,r720_mean_ARIMA_itertools3,10.53157167
r720_mean_ARIMA_itertools3,ARIMA,15.85643298
r720_mean_ARIMA_itertools3,avg_per_hour_ARIMA,13.91804784
r720_mean_ARIMA_itertools3,NA_DACON_method_ARIMA,16.58263472
r720_mean_ARIMA_itertools3,NA_DACON_method_r48_mean_ARIMA,7.009284504
r720_mean_ARIMA_itertools3,NA_DACON_method_r48_med_ARIMA,22.78725555
r720_mean_ARIMA_itertools3,r48_med_ARIMA,10.53157167
r720_mean_ARIMA_itertools3,r720_mean_ARIMA_itertools3,0
